
Right_Rokos Log File
Start Time = 2021-09-30 13:15:08.715463
Finish Time = 2021-09-30 13:36:00.252455

Time Difference = 0:20:51.536992

------------------------------------------------

 [[-2.971, -2.84, 3.491, -0.0, 140.0], [1, 3, 2, 4, 5], [35326, '13M38_1', 1, 'IC_4']],
 [[-3.621, -2.84, 0.641, 10.0, 100.0], [1, 3, 2, 4, 5], [35328, '13M38_1', 1, 'ALT']],
 [[-2.721, -2.54, 0.641, -0.0, 90.0], [1, 3, 2, 4, 5], [35329, '13M38_1', 1, 'ALT']],
 [[-2.721, -2.84, 0.641, 10.0, 80.0], [1, 3, 2, 4, 5], [35330, '13M38_1', 1, 'ALT']],
 [[-2.421, -1.146, 1.603, -90.0, 10.0], [1, 3, 2, 4, 5], [35332, '13M38_1', 1, 'DIS']],
 [[-2.121, -1.146, 2.803, -90.0, -0.0], [1, 3, 2, 4, 5], [35333, '13M38_1', 1, 'DIS']],
 [[-2.071, -1.94, 3.491, -50.0, 60.0], [1, 3, 2, 4, 5], [35335, '13M38_1', 1, 'IC_5']],
 [[-2.071, -1.94, 3.491, -80.0, -40.0], [1, 3, 2, 4, 5], [35336, '13M38_1', 1, 'IC_5']],
 [[-2.071, -2.24, 3.491, -30.0, -40.0], [1, 3, 2, 4, 5], [35337, '13M38_1', 1, 'IC_5']],
 [[-2.071, -2.54, 3.491, -80.0, 40.0], [1, 3, 2, 4, 5], [35338, '13M38_1', 1, 'IC_5']],
 [[-2.071, -2.54, 3.491, -80.0, -60.0], [1, 3, 2, 4, 5], [35339, '13M38_1', 1, 'IC_5']],
 [[-2.071, -2.54, 3.491, -90.0, -90.0], [1, 3, 2, 4, 5], [35340, '13M38_1', 1, 'IC_5']],
 [[-2.071, -2.84, 3.491, -0.0, -40.0], [1, 3, 2, 4, 5], [35341, '13M38_1', 1, 'IC_5']],
 [[-2.071, -2.84, 3.491, -90.0, -60.0], [1, 3, 2, 4, 5], [35342, '13M38_1', 1, 'IC_5']],
 [[-1.771, -2.24, 3.491, -30.0, 40.0], [1, 3, 2, 4, 5], [35343, '13M38_1', 1, 'IC_5']],
 [[-1.771, -2.24, 3.491, -90.0, -40.0], [1, 3, 2, 4, 5], [35344, '13M38_1', 1, 'IC_5']],
 [[-1.771, -2.54, 3.491, -20.0, -20.0], [1, 3, 2, 4, 5], [35345, '13M38_1', 1, 'IC_5']],
 [[-1.771, -2.84, 3.491, -90.0, -30.0], [1, 3, 2, 4, 5], [35346, '13M38_1', 1, 'IC_5']],
 [[-1.221, -2.54, 0.641, -0.0, 100.0], [1, 3, 2, 4, 5], [35348, '13M38_1', 1, 'ALT']],
 [[-0.921, -2.24, 0.641, 10.0, 100.0], [1, 3, 2, 4, 5], [35349, '13M38_1', 1, 'ALT']],
 [[-0.921, -1.146, 3.103, -90.0, -10.0], [1, 3, 2, 4, 5], [35351, '13M38_1', 1, 'DIS']],
 [[-0.621, -1.146, 2.503, -90.0, -10.0], [1, 3, 2, 4, 5], [35352, '13M38_1', 1, 'DIS']],
 [[-0.521, -1.94, 3.491, -90.0, -60.0], [1, 3, 2, 4, 5], [35354, '13M38_1', 1, 'IC_6']],
 [[-0.521, -2.54, 3.491, -80.0, -60.0], [1, 3, 2, 4, 5], [35355, '13M38_1', 1, 'IC_6']],
 [[-0.521, -2.54, 3.491, -80.0, -90.0], [1, 3, 2, 4, 5], [35356, '13M38_1', 1, 'IC_6']],
 [[-0.521, -2.84, 3.491, -0.0, -40.0], [1, 3, 2, 4, 5], [35357, '13M38_1', 1, 'IC_6']],
 [[-0.521, -2.84, 3.491, -90.0, -50.0], [1, 3, 2, 4, 5], [35358, '13M38_1', 1, 'IC_6']],
 [[-0.221, -1.94, 3.491, -10.0, -40.0], [1, 3, 2, 4, 5], [35359, '13M38_1', 1, 'IC_6']],
 [[-0.221, -1.94, 3.491, -40.0, 40.0], [1, 3, 2, 4, 5], [35360, '13M38_1', 1, 'IC_6']],
 [[-0.221, -2.24, 3.491, -80.0, -80.0], [1, 3, 2, 4, 5], [35361, '13M38_1', 1, 'IC_6']],
 [[-0.221, -2.54, 3.491, -90.0, -50.0], [1, 3, 2, 4, 5], [35362, '13M38_1', 1, 'IC_6']],
